kode_kabupaten_kota,nama_kabupaten_kota,jumlah,jenis_akomodasi,tahun
3201,KABUPATEN BOGOR,22,HOTEL,2014
3201,KABUPATEN BOGOR,4,PERKEMAHAN,2014
3201,KABUPATEN BOGOR,22,HOTEL,2015
3201,KABUPATEN BOGOR,4,PERKEMAHAN,2015
3201,KABUPATEN BOGOR,22,HOTEL,2016
3201,KABUPATEN BOGOR,4,PERKEMAHAN,2016
3201,KABUPATEN BOGOR,10,HOTEL,2017
3201,KABUPATEN BOGOR,1,PERKEMAHAN,2017
3201,KABUPATEN BOGOR,10,HOTEL,2018
3201,KABUPATEN BOGOR,0,HOMESTAY,2018
3201,KABUPATEN BOGOR,1,PERKEMAHAN,2018
3201,KABUPATEN BOGOR,318,HOTEL,2019
3201,KABUPATEN BOGOR,0,HOMESTAY,2019
3201,KABUPATEN BOGOR,1,PERKEMAHAN,2019
3201,KABUPATEN BOGOR,318,HOTEL,2020
3201,KABUPATEN BOGOR,0,HOMESTAY,2020
3201,KABUPATEN BOGOR,1,PERKEMAHAN,2020
3201,KABUPATEN BOGOR,101,HOTEL,2021
3201,KABUPATEN BOGOR,1,HOMESTAY,2021
3201,KABUPATEN BOGOR,1,PERKEMAHAN,2021
3202,KABUPATEN SUKABUMI,3,HOTEL,2014
3202,KABUPATEN SUKABUMI,7,PERKEMAHAN,2014
3202,KABUPATEN SUKABUMI,3,HOTEL,2015
3202,KABUPATEN SUKABUMI,7,PERKEMAHAN,2015
3202,KABUPATEN SUKABUMI,3,HOTEL,2016
3202,KABUPATEN SUKABUMI,7,PERKEMAHAN,2016
3202,KABUPATEN SUKABUMI,3,HOTEL,2017
3202,KABUPATEN SUKABUMI,7,PERKEMAHAN,2017
3202,KABUPATEN SUKABUMI,0,HOTEL,2018
3202,KABUPATEN SUKABUMI,0,HOMESTAY,2018
3202,KABUPATEN SUKABUMI,0,PERKEMAHAN,2018
3202,KABUPATEN SUKABUMI,148,HOTEL,2019
3202,KABUPATEN SUKABUMI,153,HOMESTAY,2019
3202,KABUPATEN SUKABUMI,9,PERKEMAHAN,2019
3202,KABUPATEN SUKABUMI,148,HOTEL,2020
3202,KABUPATEN SUKABUMI,174,HOMESTAY,2020
3202,KABUPATEN SUKABUMI,9,PERKEMAHAN,2020
3202,KABUPATEN SUKABUMI,148,HOTEL,2021
3202,KABUPATEN SUKABUMI,200,HOMESTAY,2021
3202,KABUPATEN SUKABUMI,9,PERKEMAHAN,2021
3203,KABUPATEN CIANJUR,12,HOTEL,2014
3203,KABUPATEN CIANJUR,2,PERKEMAHAN,2014
3203,KABUPATEN CIANJUR,14,HOTEL,2015
3203,KABUPATEN CIANJUR,2,PERKEMAHAN,2015
3203,KABUPATEN CIANJUR,14,HOTEL,2016
3203,KABUPATEN CIANJUR,2,PERKEMAHAN,2016
3203,KABUPATEN CIANJUR,14,HOTEL,2017
3203,KABUPATEN CIANJUR,2,PERKEMAHAN,2017
3203,KABUPATEN CIANJUR,64,HOTEL,2018
3203,KABUPATEN CIANJUR,0,HOMESTAY,2018
3203,KABUPATEN CIANJUR,25,PERKEMAHAN,2018
3203,KABUPATEN CIANJUR,64,HOTEL,2019
3203,KABUPATEN CIANJUR,15,HOMESTAY,2019
3203,KABUPATEN CIANJUR,25,PERKEMAHAN,2019
3203,KABUPATEN CIANJUR,57,HOTEL,2020
3203,KABUPATEN CIANJUR,15,HOMESTAY,2020
3203,KABUPATEN CIANJUR,25,PERKEMAHAN,2020
3203,KABUPATEN CIANJUR,57,HOTEL,2021
3203,KABUPATEN CIANJUR,15,HOMESTAY,2021
3203,KABUPATEN CIANJUR,25,PERKEMAHAN,2021
3204,KABUPATEN BANDUNG,3,HOTEL,2014
3204,KABUPATEN BANDUNG,6,PERKEMAHAN,2014
3204,KABUPATEN BANDUNG,3,HOTEL,2015
3204,KABUPATEN BANDUNG,6,PERKEMAHAN,2015
3204,KABUPATEN BANDUNG,0,HOTEL,2016
3204,KABUPATEN BANDUNG,6,PERKEMAHAN,2016
3204,KABUPATEN BANDUNG,0,HOTEL,2017
3204,KABUPATEN BANDUNG,6,PERKEMAHAN,2017
3204,KABUPATEN BANDUNG,142,HOTEL,2018
3204,KABUPATEN BANDUNG,66,HOMESTAY,2018
3204,KABUPATEN BANDUNG,7,PERKEMAHAN,2018
3204,KABUPATEN BANDUNG,84,HOTEL,2019
3204,KABUPATEN BANDUNG,154,HOMESTAY,2019
3204,KABUPATEN BANDUNG,7,PERKEMAHAN,2019
3204,KABUPATEN BANDUNG,63,HOTEL,2020
3204,KABUPATEN BANDUNG,277,HOMESTAY,2020
3204,KABUPATEN BANDUNG,7,PERKEMAHAN,2020
3204,KABUPATEN BANDUNG,62,HOTEL,2021
3204,KABUPATEN BANDUNG,282,HOMESTAY,2021
3204,KABUPATEN BANDUNG,8,PERKEMAHAN,2021
3205,KABUPATEN GARUT,6,HOTEL,2014
3205,KABUPATEN GARUT,11,PERKEMAHAN,2014
3205,KABUPATEN GARUT,6,HOTEL,2015
3205,KABUPATEN GARUT,11,PERKEMAHAN,2015
3205,KABUPATEN GARUT,6,HOTEL,2016
3205,KABUPATEN GARUT,11,PERKEMAHAN,2016
3205,KABUPATEN GARUT,6,HOTEL,2017
3205,KABUPATEN GARUT,11,PERKEMAHAN,2017
3205,KABUPATEN GARUT,351,HOTEL,2018
3205,KABUPATEN GARUT,30,HOMESTAY,2018
3205,KABUPATEN GARUT,35,PERKEMAHAN,2018
3205,KABUPATEN GARUT,354,HOTEL,2019
3205,KABUPATEN GARUT,140,HOMESTAY,2019
3205,KABUPATEN GARUT,50,PERKEMAHAN,2019
3205,KABUPATEN GARUT,354,HOTEL,2020
3205,KABUPATEN GARUT,140,HOMESTAY,2020
3205,KABUPATEN GARUT,35,PERKEMAHAN,2020
3205,KABUPATEN GARUT,227,HOTEL,2021
3205,KABUPATEN GARUT,145,HOMESTAY,2021
3205,KABUPATEN GARUT,35,PERKEMAHAN,2021
3206,KABUPATEN TASIKMALAYA,0,HOTEL,2014
3206,KABUPATEN TASIKMALAYA,0,PERKEMAHAN,2014
3206,KABUPATEN TASIKMALAYA,0,HOTEL,2015
3206,KABUPATEN TASIKMALAYA,0,PERKEMAHAN,2015
3206,KABUPATEN TASIKMALAYA,0,HOTEL,2016
3206,KABUPATEN TASIKMALAYA,0,PERKEMAHAN,2016
3206,KABUPATEN TASIKMALAYA,0,HOTEL,2017
3206,KABUPATEN TASIKMALAYA,2,PERKEMAHAN,2017
3206,KABUPATEN TASIKMALAYA,13,HOTEL,2018
3206,KABUPATEN TASIKMALAYA,37,HOMESTAY,2018
3206,KABUPATEN TASIKMALAYA,1,PERKEMAHAN,2018
3206,KABUPATEN TASIKMALAYA,15,HOTEL,2019
3206,KABUPATEN TASIKMALAYA,37,HOMESTAY,2019
3206,KABUPATEN TASIKMALAYA,2,PERKEMAHAN,2019
3206,KABUPATEN TASIKMALAYA,15,HOTEL,2020
3206,KABUPATEN TASIKMALAYA,38,HOMESTAY,2020
3206,KABUPATEN TASIKMALAYA,2,PERKEMAHAN,2020
3206,KABUPATEN TASIKMALAYA,15,HOTEL,2021
3206,KABUPATEN TASIKMALAYA,39,HOMESTAY,2021
3206,KABUPATEN TASIKMALAYA,2,PERKEMAHAN,2021
3207,KABUPATEN CIAMIS,1,HOTEL,2014
3207,KABUPATEN CIAMIS,1,PERKEMAHAN,2014
3207,KABUPATEN CIAMIS,0,HOTEL,2015
3207,KABUPATEN CIAMIS,0,PERKEMAHAN,2015
3207,KABUPATEN CIAMIS,0,HOTEL,2016
3207,KABUPATEN CIAMIS,1,PERKEMAHAN,2016
3207,KABUPATEN CIAMIS,0,HOTEL,2017
3207,KABUPATEN CIAMIS,1,PERKEMAHAN,2017
3207,KABUPATEN CIAMIS,16,HOTEL,2018
3207,KABUPATEN CIAMIS,0,HOMESTAY,2018
3207,KABUPATEN CIAMIS,2,PERKEMAHAN,2018
3207,KABUPATEN CIAMIS,16,HOTEL,2019
3207,KABUPATEN CIAMIS,0,HOMESTAY,2019
3207,KABUPATEN CIAMIS,2,PERKEMAHAN,2019
3207,KABUPATEN CIAMIS,16,HOTEL,2020
3207,KABUPATEN CIAMIS,5,HOMESTAY,2020
3207,KABUPATEN CIAMIS,0,PERKEMAHAN,2020
3207,KABUPATEN CIAMIS,16,HOTEL,2021
3207,KABUPATEN CIAMIS,5,HOMESTAY,2021
3207,KABUPATEN CIAMIS,2,PERKEMAHAN,2021
3208,KABUPATEN KUNINGAN,4,HOTEL,2014
3208,KABUPATEN KUNINGAN,6,PERKEMAHAN,2014
3208,KABUPATEN KUNINGAN,4,HOTEL,2015
3208,KABUPATEN KUNINGAN,6,PERKEMAHAN,2015
3208,KABUPATEN KUNINGAN,4,HOTEL,2016
3208,KABUPATEN KUNINGAN,6,PERKEMAHAN,2016
3208,KABUPATEN KUNINGAN,4,HOTEL,2017
3208,KABUPATEN KUNINGAN,6,PERKEMAHAN,2017
3208,KABUPATEN KUNINGAN,37,HOTEL,2018
3208,KABUPATEN KUNINGAN,85,HOMESTAY,2018
3208,KABUPATEN KUNINGAN,20,PERKEMAHAN,2018
3208,KABUPATEN KUNINGAN,39,HOTEL,2019
3208,KABUPATEN KUNINGAN,85,HOMESTAY,2019
3208,KABUPATEN KUNINGAN,0,PERKEMAHAN,2019
3208,KABUPATEN KUNINGAN,40,HOTEL,2020
3208,KABUPATEN KUNINGAN,85,HOMESTAY,2020
3208,KABUPATEN KUNINGAN,23,PERKEMAHAN,2020
3208,KABUPATEN KUNINGAN,41,HOTEL,2021
3208,KABUPATEN KUNINGAN,85,HOMESTAY,2021
3208,KABUPATEN KUNINGAN,23,PERKEMAHAN,2021
3209,KABUPATEN CIREBON,4,HOTEL,2014
3209,KABUPATEN CIREBON,0,PERKEMAHAN,2014
3209,KABUPATEN CIREBON,4,HOTEL,2015
3209,KABUPATEN CIREBON,0,PERKEMAHAN,2015
3209,KABUPATEN CIREBON,4,HOTEL,2016
3209,KABUPATEN CIREBON,0,PERKEMAHAN,2016
3209,KABUPATEN CIREBON,4,HOTEL,2017
3209,KABUPATEN CIREBON,0,PERKEMAHAN,2017
3209,KABUPATEN CIREBON,25,HOTEL,2018
3209,KABUPATEN CIREBON,0,HOMESTAY,2018
3209,KABUPATEN CIREBON,4,PERKEMAHAN,2018
3209,KABUPATEN CIREBON,25,HOTEL,2019
3209,KABUPATEN CIREBON,0,HOMESTAY,2019
3209,KABUPATEN CIREBON,9,PERKEMAHAN,2019
3209,KABUPATEN CIREBON,28,HOTEL,2020
3209,KABUPATEN CIREBON,0,HOMESTAY,2020
3209,KABUPATEN CIREBON,7,PERKEMAHAN,2020
3209,KABUPATEN CIREBON,28,HOTEL,2021
3209,KABUPATEN CIREBON,0,HOMESTAY,2021
3209,KABUPATEN CIREBON,7,PERKEMAHAN,2021
3210,KABUPATEN MAJALENGKA,0,HOTEL,2014
3210,KABUPATEN MAJALENGKA,0,PERKEMAHAN,2014
3210,KABUPATEN MAJALENGKA,0,HOTEL,2015
3210,KABUPATEN MAJALENGKA,0,PERKEMAHAN,2015
3210,KABUPATEN MAJALENGKA,0,HOTEL,2016
3210,KABUPATEN MAJALENGKA,0,PERKEMAHAN,2016
3210,KABUPATEN MAJALENGKA,0,HOTEL,2017
3210,KABUPATEN MAJALENGKA,0,PERKEMAHAN,2017
3210,KABUPATEN MAJALENGKA,14,HOTEL,2018
3210,KABUPATEN MAJALENGKA,0,HOMESTAY,2018
3210,KABUPATEN MAJALENGKA,6,PERKEMAHAN,2018
3210,KABUPATEN MAJALENGKA,15,HOTEL,2019
3210,KABUPATEN MAJALENGKA,5,HOMESTAY,2019
3210,KABUPATEN MAJALENGKA,6,PERKEMAHAN,2019
3210,KABUPATEN MAJALENGKA,15,HOTEL,2020
3210,KABUPATEN MAJALENGKA,37,HOMESTAY,2020
3210,KABUPATEN MAJALENGKA,6,PERKEMAHAN,2020
3210,KABUPATEN MAJALENGKA,15,HOTEL,2021
3210,KABUPATEN MAJALENGKA,37,HOMESTAY,2021
3210,KABUPATEN MAJALENGKA,6,PERKEMAHAN,2021
3211,KABUPATEN SUMEDANG,3,HOTEL,2014
3211,KABUPATEN SUMEDANG,1,PERKEMAHAN,2014
3211,KABUPATEN SUMEDANG,3,HOTEL,2015
3211,KABUPATEN SUMEDANG,1,PERKEMAHAN,2015
3211,KABUPATEN SUMEDANG,3,HOTEL,2016
3211,KABUPATEN SUMEDANG,1,PERKEMAHAN,2016
3211,KABUPATEN SUMEDANG,3,HOTEL,2017
3211,KABUPATEN SUMEDANG,1,PERKEMAHAN,2017
3211,KABUPATEN SUMEDANG,0,HOTEL,2018
3211,KABUPATEN SUMEDANG,0,HOMESTAY,2018
3211,KABUPATEN SUMEDANG,0,PERKEMAHAN,2018
3211,KABUPATEN SUMEDANG,24,HOTEL,2019
3211,KABUPATEN SUMEDANG,0,HOMESTAY,2019
3211,KABUPATEN SUMEDANG,0,PERKEMAHAN,2019
3211,KABUPATEN SUMEDANG,31,HOTEL,2020
3211,KABUPATEN SUMEDANG,30,HOMESTAY,2020
3211,KABUPATEN SUMEDANG,6,PERKEMAHAN,2020
3211,KABUPATEN SUMEDANG,37,HOTEL,2021
3211,KABUPATEN SUMEDANG,30,HOMESTAY,2021
3211,KABUPATEN SUMEDANG,2,PERKEMAHAN,2021
3212,KABUPATEN INDRAMAYU,0,HOTEL,2014
3212,KABUPATEN INDRAMAYU,0,PERKEMAHAN,2014
3212,KABUPATEN INDRAMAYU,0,HOTEL,2015
3212,KABUPATEN INDRAMAYU,0,PERKEMAHAN,2015
3212,KABUPATEN INDRAMAYU,3,HOTEL,2016
3212,KABUPATEN INDRAMAYU,0,PERKEMAHAN,2016
3212,KABUPATEN INDRAMAYU,3,HOTEL,2017
3212,KABUPATEN INDRAMAYU,0,PERKEMAHAN,2017
3212,KABUPATEN INDRAMAYU,26,HOTEL,2018
3212,KABUPATEN INDRAMAYU,0,HOMESTAY,2018
3212,KABUPATEN INDRAMAYU,1,PERKEMAHAN,2018
3212,KABUPATEN INDRAMAYU,28,HOTEL,2019
3212,KABUPATEN INDRAMAYU,0,HOMESTAY,2019
3212,KABUPATEN INDRAMAYU,5,PERKEMAHAN,2019
3212,KABUPATEN INDRAMAYU,32,HOTEL,2020
3212,KABUPATEN INDRAMAYU,0,HOMESTAY,2020
3212,KABUPATEN INDRAMAYU,5,PERKEMAHAN,2020
3212,KABUPATEN INDRAMAYU,34,HOTEL,2021
3212,KABUPATEN INDRAMAYU,0,HOMESTAY,2021
3212,KABUPATEN INDRAMAYU,5,PERKEMAHAN,2021
3213,KABUPATEN SUBANG,2,HOTEL,2014
3213,KABUPATEN SUBANG,5,PERKEMAHAN,2014
3213,KABUPATEN SUBANG,2,HOTEL,2015
3213,KABUPATEN SUBANG,5,PERKEMAHAN,2015
3213,KABUPATEN SUBANG,7,HOTEL,2016
3213,KABUPATEN SUBANG,6,PERKEMAHAN,2016
3213,KABUPATEN SUBANG,7,HOTEL,2017
3213,KABUPATEN SUBANG,6,PERKEMAHAN,2017
3213,KABUPATEN SUBANG,37,HOTEL,2018
3213,KABUPATEN SUBANG,15,HOMESTAY,2018
3213,KABUPATEN SUBANG,6,PERKEMAHAN,2018
3213,KABUPATEN SUBANG,50,HOTEL,2019
3213,KABUPATEN SUBANG,54,HOMESTAY,2019
3213,KABUPATEN SUBANG,5,PERKEMAHAN,2019
3213,KABUPATEN SUBANG,49,HOTEL,2020
3213,KABUPATEN SUBANG,104,HOMESTAY,2020
3213,KABUPATEN SUBANG,6,PERKEMAHAN,2020
