kode_kabupaten_kota,nama_kabupaten_kota,jumlah,jenis_akomodasi,tahun
3213,KABUPATEN SUBANG,50,HOTEL,2021
3213,KABUPATEN SUBANG,104,HOMESTAY,2021
3213,KABUPATEN SUBANG,6,PERKEMAHAN,2021
3214,KABUPATEN PURWAKARTA,2,HOTEL,2014
3214,KABUPATEN PURWAKARTA,3,PERKEMAHAN,2014
3214,KABUPATEN PURWAKARTA,2,HOTEL,2015
3214,KABUPATEN PURWAKARTA,3,PERKEMAHAN,2015
3214,KABUPATEN PURWAKARTA,3,HOTEL,2016
3214,KABUPATEN PURWAKARTA,3,PERKEMAHAN,2016
3214,KABUPATEN PURWAKARTA,3,HOTEL,2017
3214,KABUPATEN PURWAKARTA,3,PERKEMAHAN,2017
3214,KABUPATEN PURWAKARTA,7,HOTEL,2018
3214,KABUPATEN PURWAKARTA,0,HOMESTAY,2018
3214,KABUPATEN PURWAKARTA,12,PERKEMAHAN,2018
3214,KABUPATEN PURWAKARTA,34,HOTEL,2019
3214,KABUPATEN PURWAKARTA,54,HOMESTAY,2019
3214,KABUPATEN PURWAKARTA,4,PERKEMAHAN,2019
3214,KABUPATEN PURWAKARTA,34,HOTEL,2020
3214,KABUPATEN PURWAKARTA,54,HOMESTAY,2020
3214,KABUPATEN PURWAKARTA,4,PERKEMAHAN,2020
3214,KABUPATEN PURWAKARTA,34,HOTEL,2021
3214,KABUPATEN PURWAKARTA,54,HOMESTAY,2021
3214,KABUPATEN PURWAKARTA,0,PERKEMAHAN,2021
3215,KABUPATEN KARAWANG,7,HOTEL,2014
3215,KABUPATEN KARAWANG,1,PERKEMAHAN,2014
3215,KABUPATEN KARAWANG,7,HOTEL,2015
3215,KABUPATEN KARAWANG,1,PERKEMAHAN,2015
3215,KABUPATEN KARAWANG,14,HOTEL,2016
3215,KABUPATEN KARAWANG,1,PERKEMAHAN,2016
3215,KABUPATEN KARAWANG,14,HOTEL,2017
3215,KABUPATEN KARAWANG,5,PERKEMAHAN,2017
3215,KABUPATEN KARAWANG,33,HOTEL,2018
3215,KABUPATEN KARAWANG,0,HOMESTAY,2018
3215,KABUPATEN KARAWANG,5,PERKEMAHAN,2018
3215,KABUPATEN KARAWANG,34,HOTEL,2019
3215,KABUPATEN KARAWANG,36,HOMESTAY,2019
3215,KABUPATEN KARAWANG,7,PERKEMAHAN,2019
3215,KABUPATEN KARAWANG,34,HOTEL,2020
3215,KABUPATEN KARAWANG,77,HOMESTAY,2020
3215,KABUPATEN KARAWANG,7,PERKEMAHAN,2020
3215,KABUPATEN KARAWANG,34,HOTEL,2021
3215,KABUPATEN KARAWANG,77,HOMESTAY,2021
3215,KABUPATEN KARAWANG,7,PERKEMAHAN,2021
3216,KABUPATEN BEKASI,4,HOTEL,2014
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2014
3216,KABUPATEN BEKASI,4,HOTEL,2015
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2015
3216,KABUPATEN BEKASI,4,HOTEL,2016
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2016
3216,KABUPATEN BEKASI,4,HOTEL,2017
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2017
3216,KABUPATEN BEKASI,87,HOTEL,2018
3216,KABUPATEN BEKASI,0,HOMESTAY,2018
3216,KABUPATEN BEKASI,1,PERKEMAHAN,2018
3216,KABUPATEN BEKASI,38,HOTEL,2019
3216,KABUPATEN BEKASI,0,HOMESTAY,2019
3216,KABUPATEN BEKASI,1,PERKEMAHAN,2019
3216,KABUPATEN BEKASI,44,HOTEL,2020
3216,KABUPATEN BEKASI,0,HOMESTAY,2020
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2020
3216,KABUPATEN BEKASI,42,HOTEL,2021
3216,KABUPATEN BEKASI,0,HOMESTAY,2021
3216,KABUPATEN BEKASI,0,PERKEMAHAN,2021
3217,KABUPATEN BANDUNG BARAT,8,HOTEL,2014
3217,KABUPATEN BANDUNG BARAT,3,PERKEMAHAN,2014
3217,KABUPATEN BANDUNG BARAT,8,HOTEL,2015
3217,KABUPATEN BANDUNG BARAT,3,PERKEMAHAN,2015
3217,KABUPATEN BANDUNG BARAT,8,HOTEL,2016
3217,KABUPATEN BANDUNG BARAT,3,PERKEMAHAN,2016
3217,KABUPATEN BANDUNG BARAT,8,HOTEL,2017
3217,KABUPATEN BANDUNG BARAT,3,PERKEMAHAN,2017
3217,KABUPATEN BANDUNG BARAT,97,HOTEL,2018
3217,KABUPATEN BANDUNG BARAT,66,HOMESTAY,2018
3217,KABUPATEN BANDUNG BARAT,7,PERKEMAHAN,2018
3217,KABUPATEN BANDUNG BARAT,99,HOTEL,2019
3217,KABUPATEN BANDUNG BARAT,85,HOMESTAY,2019
3217,KABUPATEN BANDUNG BARAT,8,PERKEMAHAN,2019
3217,KABUPATEN BANDUNG BARAT,289,HOTEL,2020
3217,KABUPATEN BANDUNG BARAT,85,HOMESTAY,2020
3217,KABUPATEN BANDUNG BARAT,8,PERKEMAHAN,2020
3217,KABUPATEN BANDUNG BARAT,289,HOTEL,2021
3217,KABUPATEN BANDUNG BARAT,59,HOMESTAY,2021
3217,KABUPATEN BANDUNG BARAT,8,PERKEMAHAN,2021
3218,KABUPATEN PANGANDARAN,0,HOTEL,2015
3218,KABUPATEN PANGANDARAN,0,PERKEMAHAN,2015
3218,KABUPATEN PANGANDARAN,0,HOTEL,2016
3218,KABUPATEN PANGANDARAN,8,PERKEMAHAN,2016
3218,KABUPATEN PANGANDARAN,0,HOTEL,2017
3218,KABUPATEN PANGANDARAN,8,PERKEMAHAN,2017
3218,KABUPATEN PANGANDARAN,7,HOTEL,2018
3218,KABUPATEN PANGANDARAN,39,HOMESTAY,2018
3218,KABUPATEN PANGANDARAN,8,PERKEMAHAN,2018
3218,KABUPATEN PANGANDARAN,244,HOTEL,2019
3218,KABUPATEN PANGANDARAN,134,HOMESTAY,2019
3218,KABUPATEN PANGANDARAN,2,PERKEMAHAN,2019
3218,KABUPATEN PANGANDARAN,248,HOTEL,2020
3218,KABUPATEN PANGANDARAN,135,HOMESTAY,2020
3218,KABUPATEN PANGANDARAN,9,PERKEMAHAN,2020
3218,KABUPATEN PANGANDARAN,255,HOTEL,2021
3218,KABUPATEN PANGANDARAN,134,HOMESTAY,2021
3218,KABUPATEN PANGANDARAN,3,PERKEMAHAN,2021
3271,KOTA BOGOR,7,HOTEL,2014
3271,KOTA BOGOR,0,PERKEMAHAN,2014
3271,KOTA BOGOR,7,HOTEL,2015
3271,KOTA BOGOR,0,PERKEMAHAN,2015
3271,KOTA BOGOR,29,HOTEL,2016
3271,KOTA BOGOR,0,PERKEMAHAN,2016
3271,KOTA BOGOR,29,HOTEL,2017
3271,KOTA BOGOR,0,PERKEMAHAN,2017
3271,KOTA BOGOR,78,HOTEL,2018
3271,KOTA BOGOR,0,HOMESTAY,2018
3271,KOTA BOGOR,0,PERKEMAHAN,2018
3271,KOTA BOGOR,78,HOTEL,2019
3271,KOTA BOGOR,20,HOMESTAY,2019
3271,KOTA BOGOR,0,PERKEMAHAN,2019
3271,KOTA BOGOR,104,HOTEL,2020
3271,KOTA BOGOR,20,HOMESTAY,2020
3271,KOTA BOGOR,0,PERKEMAHAN,2020
3271,KOTA BOGOR,95,HOTEL,2021
3271,KOTA BOGOR,20,HOMESTAY,2021
3271,KOTA BOGOR,0,PERKEMAHAN,2021
3272,KOTA SUKABUMI,2,HOTEL,2014
3272,KOTA SUKABUMI,1,PERKEMAHAN,2014
3272,KOTA SUKABUMI,2,HOTEL,2015
3272,KOTA SUKABUMI,1,PERKEMAHAN,2015
3272,KOTA SUKABUMI,25,HOTEL,2016
3272,KOTA SUKABUMI,1,PERKEMAHAN,2016
3272,KOTA SUKABUMI,25,HOTEL,2017
3272,KOTA SUKABUMI,1,PERKEMAHAN,2017
3272,KOTA SUKABUMI,0,HOTEL,2018
3272,KOTA SUKABUMI,0,HOMESTAY,2018
3272,KOTA SUKABUMI,0,PERKEMAHAN,2018
3272,KOTA SUKABUMI,0,HOTEL,2019
3272,KOTA SUKABUMI,0,HOMESTAY,2019
3272,KOTA SUKABUMI,0,PERKEMAHAN,2019
3272,KOTA SUKABUMI,34,HOTEL,2020
3272,KOTA SUKABUMI,15,HOMESTAY,2020
3272,KOTA SUKABUMI,2,PERKEMAHAN,2020
3272,KOTA SUKABUMI,32,HOTEL,2021
3272,KOTA SUKABUMI,15,HOMESTAY,2021
3272,KOTA SUKABUMI,2,PERKEMAHAN,2021
3273,KOTA BANDUNG,80,HOTEL,2014
3273,KOTA BANDUNG,0,PERKEMAHAN,2014
3273,KOTA BANDUNG,80,HOTEL,2015
3273,KOTA BANDUNG,0,PERKEMAHAN,2015
3273,KOTA BANDUNG,117,HOTEL,2016
3273,KOTA BANDUNG,0,PERKEMAHAN,2016
3273,KOTA BANDUNG,117,HOTEL,2017
3273,KOTA BANDUNG,0,PERKEMAHAN,2017
3273,KOTA BANDUNG,648,HOTEL,2018
3273,KOTA BANDUNG,100,HOMESTAY,2018
3273,KOTA BANDUNG,0,PERKEMAHAN,2018
3273,KOTA BANDUNG,663,HOTEL,2019
3273,KOTA BANDUNG,100,HOMESTAY,2019
3273,KOTA BANDUNG,0,PERKEMAHAN,2019
3273,KOTA BANDUNG,663,HOTEL,2020
3273,KOTA BANDUNG,100,HOMESTAY,2020
3273,KOTA BANDUNG,0,PERKEMAHAN,2020
3273,KOTA BANDUNG,402,HOTEL,2021
3273,KOTA BANDUNG,100,HOMESTAY,2021
3273,KOTA BANDUNG,1,PERKEMAHAN,2021
3274,KOTA CIREBON,8,HOTEL,2014
3274,KOTA CIREBON,0,PERKEMAHAN,2014
3274,KOTA CIREBON,8,HOTEL,2015
3274,KOTA CIREBON,0,PERKEMAHAN,2015
3274,KOTA CIREBON,21,HOTEL,2016
3274,KOTA CIREBON,1,PERKEMAHAN,2016
3274,KOTA CIREBON,21,HOTEL,2017
3274,KOTA CIREBON,1,PERKEMAHAN,2017
3274,KOTA CIREBON,66,HOTEL,2018
3274,KOTA CIREBON,0,HOMESTAY,2018
3274,KOTA CIREBON,1,PERKEMAHAN,2018
3274,KOTA CIREBON,69,HOTEL,2019
3274,KOTA CIREBON,3,HOMESTAY,2019
3274,KOTA CIREBON,1,PERKEMAHAN,2019
3274,KOTA CIREBON,64,HOTEL,2020
3274,KOTA CIREBON,3,HOMESTAY,2020
3274,KOTA CIREBON,1,PERKEMAHAN,2020
3274,KOTA CIREBON,64,HOTEL,2021
3274,KOTA CIREBON,3,HOMESTAY,2021
3274,KOTA CIREBON,0,PERKEMAHAN,2021
3275,KOTA BEKASI,2,HOTEL,2014
3275,KOTA BEKASI,1,PERKEMAHAN,2014
3275,KOTA BEKASI,2,HOTEL,2015
3275,KOTA BEKASI,1,PERKEMAHAN,2015
3275,KOTA BEKASI,2,HOTEL,2016
3275,KOTA BEKASI,1,PERKEMAHAN,2016
3275,KOTA BEKASI,2,HOTEL,2017
3275,KOTA BEKASI,1,PERKEMAHAN,2017
3275,KOTA BEKASI,38,HOTEL,2018
3275,KOTA BEKASI,0,HOMESTAY,2018
3275,KOTA BEKASI,0,PERKEMAHAN,2018
3275,KOTA BEKASI,47,HOTEL,2019
3275,KOTA BEKASI,0,HOMESTAY,2019
3275,KOTA BEKASI,0,PERKEMAHAN,2019
3275,KOTA BEKASI,48,HOTEL,2020
3275,KOTA BEKASI,0,HOMESTAY,2020
3275,KOTA BEKASI,0,PERKEMAHAN,2020
3275,KOTA BEKASI,48,HOTEL,2021
3275,KOTA BEKASI,0,HOMESTAY,2021
3275,KOTA BEKASI,0,PERKEMAHAN,2021
3276,KOTA DEPOK,1,HOTEL,2014
3276,KOTA DEPOK,1,PERKEMAHAN,2014
3276,KOTA DEPOK,1,HOTEL,2015
3276,KOTA DEPOK,1,PERKEMAHAN,2015
3276,KOTA DEPOK,3,HOTEL,2016
3276,KOTA DEPOK,0,PERKEMAHAN,2016
3276,KOTA DEPOK,3,HOTEL,2017
3276,KOTA DEPOK,0,PERKEMAHAN,2017
3276,KOTA DEPOK,0,HOTEL,2018
3276,KOTA DEPOK,0,HOMESTAY,2018
3276,KOTA DEPOK,0,PERKEMAHAN,2018
3276,KOTA DEPOK,9,HOTEL,2019
3276,KOTA DEPOK,1,HOMESTAY,2019
3276,KOTA DEPOK,0,PERKEMAHAN,2019
3276,KOTA DEPOK,8,HOTEL,2020
3276,KOTA DEPOK,1,HOMESTAY,2020
3276,KOTA DEPOK,0,PERKEMAHAN,2020
3276,KOTA DEPOK,8,HOTEL,2021
3276,KOTA DEPOK,0,HOMESTAY,2021
3276,KOTA DEPOK,0,PERKEMAHAN,2021
3277,KOTA CIMAHI,0,HOTEL,2014
3277,KOTA CIMAHI,0,PERKEMAHAN,2014
3277,KOTA CIMAHI,0,HOTEL,2015
3277,KOTA CIMAHI,0,PERKEMAHAN,2015
3277,KOTA CIMAHI,1,HOTEL,2016
3277,KOTA CIMAHI,0,PERKEMAHAN,2016
3277,KOTA CIMAHI,1,HOTEL,2017
3277,KOTA CIMAHI,0,PERKEMAHAN,2017
3277,KOTA CIMAHI,8,HOTEL,2018
3277,KOTA CIMAHI,15,HOMESTAY,2018
3277,KOTA CIMAHI,1,PERKEMAHAN,2018
3277,KOTA CIMAHI,8,HOTEL,2019
3277,KOTA CIMAHI,18,HOMESTAY,2019
3277,KOTA CIMAHI,1,PERKEMAHAN,2019
3277,KOTA CIMAHI,8,HOTEL,2020
3277,KOTA CIMAHI,20,HOMESTAY,2020
3277,KOTA CIMAHI,1,PERKEMAHAN,2020
3277,KOTA CIMAHI,7,HOTEL,2021
3277,KOTA CIMAHI,20,HOMESTAY,2021
3277,KOTA CIMAHI,1,PERKEMAHAN,2021
3278,KOTA TASIKMALAYA,5,HOTEL,2014
3278,KOTA TASIKMALAYA,2,PERKEMAHAN,2014
3278,KOTA TASIKMALAYA,5,HOTEL,2015
3278,KOTA TASIKMALAYA,2,PERKEMAHAN,2015
3278,KOTA TASIKMALAYA,8,HOTEL,2016
3278,KOTA TASIKMALAYA,3,PERKEMAHAN,2016
3278,KOTA TASIKMALAYA,8,HOTEL,2017
3278,KOTA TASIKMALAYA,3,PERKEMAHAN,2017
3278,KOTA TASIKMALAYA,43,HOTEL,2018
3278,KOTA TASIKMALAYA,5,HOMESTAY,2018
3278,KOTA TASIKMALAYA,0,PERKEMAHAN,2018
3278,KOTA TASIKMALAYA,34,HOTEL,2019
3278,KOTA TASIKMALAYA,0,HOMESTAY,2019
3278,KOTA TASIKMALAYA,0,PERKEMAHAN,2019
3278,KOTA TASIKMALAYA,34,HOTEL,2020
3278,KOTA TASIKMALAYA,5,HOMESTAY,2020
3278,KOTA TASIKMALAYA,1,PERKEMAHAN,2020
3278,KOTA TASIKMALAYA,34,HOTEL,2021
3278,KOTA TASIKMALAYA,5,HOMESTAY,2021
3278,KOTA TASIKMALAYA,1,PERKEMAHAN,2021
3279,KOTA BANJAR,0,HOTEL,2014
3279,KOTA BANJAR,0,PERKEMAHAN,2014
3279,KOTA BANJAR,0,HOTEL,2015
3279,KOTA BANJAR,0,PERKEMAHAN,2015
3279,KOTA BANJAR,0,HOTEL,2016
3279,KOTA BANJAR,0,PERKEMAHAN,2016
3279,KOTA BANJAR,0,HOTEL,2017
3279,KOTA BANJAR,0,PERKEMAHAN,2017
3279,KOTA BANJAR,0,HOTEL,2018
3279,KOTA BANJAR,0,HOMESTAY,2018
3279,KOTA BANJAR,0,PERKEMAHAN,2018
3279,KOTA BANJAR,12,HOTEL,2019
3279,KOTA BANJAR,0,HOMESTAY,2019
3279,KOTA BANJAR,0,PERKEMAHAN,2019
3279,KOTA BANJAR,11,HOTEL,2020
3279,KOTA BANJAR,0,HOMESTAY,2020
3279,KOTA BANJAR,0,PERKEMAHAN,2020
3279,KOTA BANJAR,13,HOTEL,2021
3279,KOTA BANJAR,0,HOMESTAY,2021
3279,KOTA BANJAR,0,PERKEMAHAN,2021