tahun,sektor_wisata,jumlah
2014,HIBURAN,60822567218
2014,HOTEL,138148638612
2014,RESTORAN/RUMAH MAKAN,206503173385
2014,RETRIBUSI,12861191306
2015,HIBURAN,60822567218
2015,HOTEL,138100138870
2015,RESTORAN/RUMAH MAKAN,205500517271
2015,RETRIBUSI,12901861439
2016,HIBURAN,87400185411
2016,HOTEL,229845479985
2016,RESTORAN/RUMAH MAKAN,360569065434
2016,RETRIBUSI,6021806831
2017,HIBURAN,92633787017
2017,HOTEL,181000517025
2017,RESTORAN/RUMAH MAKAN,286195343669
2017,RETRIBUSI,17261350742
2018,HIBURAN,211295007274
2018,HOTEL,462046339328
2018,RESTORAN/RUMAH MAKAN,1125384343452
2018,RETRIBUSI,132675100466
2019,HIBURAN,160480982643
2019,HOTEL,284554724708
2019,RESTORAN/RUMAH MAKAN,986090602147
2019,RETRIBUSI,1849973161052
2020,HIBURAN,73951418043
2020,HOTEL,201492033224
2020,RESTORAN/RUMAH MAKAN,832201599126
2020,RETRIBUSI,259119011408