tempat_hiburan,jumlah,tahun
BILLIARD,191,2014
BILLIARD,186,2015
BILLIARD,138,2016
BILLIARD,146,2017
BILLIARD,116,2018
BILLIARD,63,2019
BILLIARD,97,2020
BILLIARD,90,2021
BIOSKOP,35,2014
BIOSKOP,35,2015
BIOSKOP,34,2016
BIOSKOP,37,2017
BIOSKOP,45,2018
BIOSKOP,63,2019
BIOSKOP,76,2020
BIOSKOP,72,2021
DISKOTIK,9,2014
DISKOTIK,8,2015
DISKOTIK,7,2016
DISKOTIK,7,2017
DISKOTIK,6,2018
DISKOTIK,6,2019
DISKOTIK,4,2020
DISKOTIK,2,2021
KARAOKE/BAR,160,2014
KARAOKE/BAR,169,2015
KARAOKE/BAR,159,2016
KARAOKE/BAR,167,2017
KARAOKE/BAR,331,2018
KARAOKE/BAR,276,2019
KARAOKE/BAR,329,2020
KARAOKE/BAR,428,2021
NIGHT CLUB,13,2014
NIGHT CLUB,14,2015
NIGHT CLUB,6,2016
NIGHT CLUB,6,2017
NIGHT CLUB,18,2018
NIGHT CLUB,11,2019
NIGHT CLUB,10,2020
NIGHT CLUB,8,2021
PANTI PIJAT,79,2014
PANTI PIJAT,79,2015
PANTI PIJAT,97,2016
PANTI PIJAT,108,2017
PANTI PIJAT,74,2018
PANTI PIJAT,175,2019
PANTI PIJAT,372,2020
PANTI PIJAT,227,2021
PUB,21,2014
PUB,22,2015
PUB,100,2016
PUB,103,2017
PUB,51,2018
PUB,108,2019
PUB,105,2020
PUB,35,2021